sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
18,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1,1,1,1,1.5
18,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1,1.5,1.5,3,5,9.5
19,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1.5,1.5,2,3,3.5,3.5,4
19,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1.5,2,3,5.5,8.5,14.5
20,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1.5,2,2,2,3,3.5
20,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1.5,2.5,3,5,7,10
21,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1.5,1.5,1.5,2,2.5,2.5
21,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1.5,1.5,1.5,2,3,4,9,16.5,25
22,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1.5,1.5,1.5,1.5,1.5
22,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1.5,1.5,1.5,2.5,4.5,8,15
23,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1.5,1.5,2,2.5,3,3
23,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1.5,1.5,2,3.5,5.5,10,15
24,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1,1,1,2.5,4
24,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1,1.5,1.5,1.5,2,3
