sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
16,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1.5,1.5,2,2.5,4,6,9,15,23
17,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1,1.5,1.5,1.5,1.5,2,2,3
17,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1,1,1.5,1.5,2.5,4,6,10,17.5
18,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1.5,1.5,2,2,2,2,3,3.5
18,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1.5,1.5,2,2.5,4,5,7.5,13,21
19,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1,1.5,2,2,3,5,5,6
19,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1,1,1.5,2,2,3,4,5,6
20,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1,1.5,1.5,2,3.5,4,5.5,7
20,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1,1,2,2,2.5,3.5,4,5,6
21,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1,1.5,2,2,2,2,2.5,3
21,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1,1,1.5,2,2,2.5,2.5,2.5,3
22,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1,1,1.5,1.5,2,2.5,2.5,3
22,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1,1,1.5,2,2.5,4,5.5,7.5,10.5
23,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1.5,1.5,1.5,1.5,1.5,2,2.5,2.5,2.5
23,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1.5,1.5,2,2.5,3,4.5,7,9.5,15
24,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1,1.5,2,2,3.5,4,4,5
24,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1,1,1.5,2,3,3.5,5,5.5,7.5
25,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1,1.5,1.5,1.5,2.5,3,3.5,4
25,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1,1,1.5,1.5,2.5,2.5,4,6,11
